addr,vote_option,myBank
cosmos1h4m8x6yenq8luktp6g78z3ensrlthcj3y8wy32,VOTE_OPTION_NO,377.474279
cosmos10t8lusgdjqfnn9z2ea085mah9u65h8394ynx5f,VOTE_OPTION_NO,376.74951
cosmos1dr4um0jmyhjtjc0r2p03cfxw0kfssucgfztpkh,VOTE_OPTION_NO,373.189648
cosmos13fqmjnsjpcns3mr38c7m79lh5j52nj5tffu5ju,VOTE_OPTION_YES,372.991357
cosmos1hy93akvmprl34526xexakxwefya0s7c4vfwhet,VOTE_OPTION_NO,361.83109
cosmos19uraxqsucmfvzvdhjhu2ycypqfh2z8k029epl8,VOTE_OPTION_NO,355.776702
cosmos1zgaj2w950llsludydz5xmcp609uk02ys32a9ux,VOTE_OPTION_NO,352.827228
cosmos1sg5eclxk9svey869xgz5etfpa9jnhrfhel03f6,VOTE_OPTION_NO,345.556743
cosmos1wyegm9fjyz97xvagm03hpffl39h4322vrep2eg,VOTE_OPTION_NO,342.176679
cosmos1dm90c3eyxcwknmtx0hfcte4tfav9xd7dy3nm2f,VOTE_OPTION_NO,329.980195
cosmos166jxmsf24hgdn9xcjanemwvkf3d6e0gmcnxfrm,VOTE_OPTION_NO,328.904404
cosmos12z2988anxfkyrn9jtd942xgjlxqk6t8mur4d7t,VOTE_OPTION_ABSTAIN,327.069637
cosmos1mxzjfp05w2zw63lf2qp34mf8na4et9wwy9ks85,VOTE_OPTION_ABSTAIN,324.176063
cosmos1vrrj4kw52kchqzgzpn5zw46dha2cdp6hj4z7kw,VOTE_OPTION_NO,323.157509
cosmos1l0uyf6ljnmdaw4ngqnpfgtrg4t9ym0g4yhwpae,VOTE_OPTION_NO,318.090007
cosmos149xu30eqnu5kfl207razavtgtgl6dgxdtjsf49,VOTE_OPTION_NO,312.233617
cosmos1xh5tm5538ed6uu5ahvjdsz6lkgwv9twmwsflgy,VOTE_OPTION_ABSTAIN,309.96907
cosmos14qqpm269lyt3f8fg54f4g9f9949he4y96jw5l8,VOTE_OPTION_ABSTAIN,309.08792
