addr,vote_option,myStake
cosmos17zp8dxwj40kw0998gv6x4z669cl8dsj350m6mk,VOTE_OPTION_ABSTAIN,30090.584892
cosmos1nhfpuvxupt544sjxrzwmjdk0un9p8385rryw2q,VOTE_OPTION_NO,30001.250116000003
cosmos1sa54sdl5nrr6p5d0ksrceapur7f9awf2s6jjhk,VOTE_OPTION_ABSTAIN,28202.818662
cosmos16e32x4jzdqkjle4vetvx0pyjs6vpaaut6g9sya,VOTE_OPTION_NO,28161.003871999998
cosmos18888m4mej8tfwedl4t4evcen5ap5f3d3y500ut,VOTE_OPTION_NO_WITH_VETO,27974.010143
cosmos17mggn4znyeyg25wd7498qxl7r2jhgue8ep585n,VOTE_OPTION_ABSTAIN,27571.572897
cosmos1lww08rv3wlt6x2v9nesc2c7dtlvp4f5n5smxsx,VOTE_OPTION_ABSTAIN,27388.49598
cosmos13sduv92y3xdhy3rpmhakrc3v7t37e7psqtmrdl,VOTE_OPTION_YES,26576.33397
cosmos1v34kn7s505gqlp723pzk0v8cwgchrajg939p74,VOTE_OPTION_YES,26558.081424
cosmos13al3765u4gd9zpks0n7de8x2edvza4lwr89w7k,VOTE_OPTION_NO,25859.723844
cosmos12ctg3ztj92qtea7na5nx4cgw7qvgm3l4shnu24,VOTE_OPTION_NO,25851.722243
cosmos10qx02y62v9ynwe9yz4qxvdx2sq7wm8gw9xsedl,VOTE_OPTION_NO,25851.722243
cosmos1sny3f3mqpkze0ae6shtm2v0mg3tjzwjpmagl4h,VOTE_OPTION_NO,25851.722243
cosmos1jthu90g8ltzgs2rxfdfv98cc53wuhcklxdzz4n,VOTE_OPTION_NO,25851.722243
cosmos14dqvnrmwthl8cewf6rtv7csrx9ucuwpkp0al7z,VOTE_OPTION_NO,25851.722243
cosmos1449e6qd0cur0rzghxx44xn30v036tkq0gyjmtl,VOTE_OPTION_NO,25851.722243
cosmos16vw63em8pjf20shm95rc0lcghzt396ykkc5hef,VOTE_OPTION_NO,25851.722243
cosmos1pjmngrwcsatsuyy8m3qrunaun67sr9x78qhlvr,VOTE_OPTION_NO,25714.845865
cosmos1v7y8ma66z72pa82gxt30tkqqpx3dkwqgjswjpp,VOTE_OPTION_ABSTAIN,25700.147582
cosmos133t8m00w7llsslnf05zdhehharntly8dr346wq,VOTE_OPTION_YES,25037.556942
cosmos1njusvz6kcg2844cpuetke5yghjrp57uyz0vcmg,VOTE_OPTION_NO,25001.000306
cosmos1cws2ktsx5edvv9vnge8mj983h76vz4txluqr67,VOTE_OPTION_NO,24829.560943
cosmos15a84pmu5qa9pps40g7vyzqar0p77mg0e7k05t4,VOTE_OPTION_ABSTAIN,24563.20269
cosmos1lzd8cdzfp7tn8cplarlpmxupeup08c59yk2r9e,VOTE_OPTION_NO,24318.84455
cosmos1aszpxp86gq9qnw8yyyxfkcfcau0870u32qx780,VOTE_OPTION_NO,23887.358904
cosmos1tkx9cvhw8g9hwn3kaemfejsq5mfkx58mhaqkzv,VOTE_OPTION_NO_WITH_VETO,23592.676819
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,VOTE_OPTION_ABSTAIN,23532.353127
cosmos1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep4tgu9q,VOTE_OPTION_NO,23117.172506
cosmos124maqmcqv8tquy764ktz7cu0gxnzfw54k9cmz5,VOTE_OPTION_NO,22343.863799
cosmos1hzdne7xvvs8unp497t6x0g32lpz6m5mqk9zq7d,VOTE_OPTION_YES,21667.75935
cosmos1m20wyugxnse56q2lfmm9txyk2fx39s6fw0rk3m,VOTE_OPTION_ABSTAIN,21018.782185
cosmos1z54nnm0rmwje3e003g0m6vm9crjvfnseffw09y,VOTE_OPTION_NO,21000.899998
