addr,vote_option,myBank
cosmos1grgelyng2v6v3t8z87wu3sxgt9m5s03xvslewd,VOTE_OPTION_NO_WITH_VETO,111223.576405
cosmos15urq2dtp9qce4fyc85m6upwm9xul3049um7trd,VOTE_OPTION_NO,50009.502734
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,VOTE_OPTION_NO_WITH_VETO,32305.069503
cosmos1uutuwrwt3z2a5z8z3uasml3rftlpmu25cufp5f,VOTE_OPTION_NO,12857.502413
cosmos196ax4vc0lwpxndu9dyhvca7jhxp70rmcfhxsrt,VOTE_OPTION_ABSTAIN,9981.93118
cosmos1qanwkm62vetdgan6kpyq7n3kufrwce2s27kuks,VOTE_OPTION_NO,8748.222266
cosmos16k579jk6yt2cwmqx9dz5xvq9fug2tekv6g34pl,VOTE_OPTION_NO_WITH_VETO,8040.612933
cosmos1p4ks5aktxq48yqmpzh8e90z6suan8zwy463ypu,VOTE_OPTION_ABSTAIN,5184.634947
cosmos13pny9wkauex4jqqlzxmwrgp2l6spcs27n2v8gz,VOTE_OPTION_NO,4770.412231
cosmos134wtgq2wugr5vjv09gnw8rk4rq5cgue983dcum,VOTE_OPTION_ABSTAIN,2953.838457
cosmos1hzdne7xvvs8unp497t6x0g32lpz6m5mqk9zq7d,VOTE_OPTION_YES,2789.746928
cosmos1njusvz6kcg2844cpuetke5yghjrp57uyz0vcmg,VOTE_OPTION_NO,2699.665447
cosmos15ma0kvf0pw4gtaeku8sas5nt7qvw8063cpggyq,VOTE_OPTION_YES,2529.31469
cosmos1uq6qu50nk6nqp7a9wwfu36srqj58un7r5ts795,VOTE_OPTION_NO,2173.547719
cosmos1ax32rmtyraxnf76w3tcx6pmt7psdfgfdrmkpnd,VOTE_OPTION_NO,1965.725208
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,VOTE_OPTION_ABSTAIN,1895.040424
cosmos18vd445afteree2p8xk0s2uplehp87j0ucmxkxq,VOTE_OPTION_ABSTAIN,1842.761478
cosmos14jlpmqquh0gste6nzf4dn43kc8h50l6f7jwc9r,VOTE_OPTION_NO,1654.687418
cosmos1vuvzqu928dt2fh4vj443slamkgxecprc2achke,VOTE_OPTION_ABSTAIN,1350.196858
cosmos18jmylp5ddfhv4gzzm0lrvk92xy9aa6x5dtk953,VOTE_OPTION_ABSTAIN,1333.196231
cosmos1q5uzh5kl7aegevft0myry6mjv26cxljzt8lgxn,VOTE_OPTION_ABSTAIN,1276.691559
