addr,vote_option,myStake
cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh,VOTE_OPTION_NO_WITH_VETO,9404156.918429
cosmos1grgelyng2v6v3t8z87wu3sxgt9m5s03xvslewd,VOTE_OPTION_YES,1190007.000699
cosmos1ecsuj0q572jr0dhu29q9njtnmw03hyu7ccc0d7,VOTE_OPTION_NO_WITH_VETO,770173.002935
cosmos1qs00cyjkpjg79y2gf6s54phzhlncm4s9zv5t2w,VOTE_OPTION_NO_WITH_VETO,401224.952104
cosmos1u753tf5t6hq9l8fq7wtsfsxc89955mvgsj5krk,VOTE_OPTION_YES,325729.868284
cosmos13pny9wkauex4jqqlzxmwrgp2l6spcs27n2v8gz,VOTE_OPTION_YES,270000.078818
cosmos1la4t7jee73a4zqg9ccs2acjt462qjs5xkls4n7,VOTE_OPTION_YES,253428.886978
cosmos1gtdxj6hay8xdjvvyh8cpk2jaw2eazpz3fqrvq7,VOTE_OPTION_YES,247692.461669
cosmos1jvykup7tdqs73qpt68xwylunst873nuxkkfpjq,VOTE_OPTION_YES,153111.318158
cosmos1yv8x6z8h7n0asawdpks9meccel4uz0hrhudqf7,VOTE_OPTION_YES,133830.149779
cosmos1gk6py8fukt8dnaad00atemjqjlhjlwv9rgw6qz,VOTE_OPTION_YES,128117.817854
cosmos16l5mcp4ar7cl646r6nmy8q7f5ujzxxdekvz30u,VOTE_OPTION_NO_WITH_VETO,125713.771087
cosmos1hxnuxckagux4200mvfs3yd5xhqguterc46wvq8,VOTE_OPTION_NO_WITH_VETO,125658.768175
cosmos1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u0tvx7u,VOTE_OPTION_ABSTAIN,115000.0
cosmos1cz6q5nys0tgupq2mt99amsltepglxqgwvywusg,VOTE_OPTION_NO,108961.48780500001
cosmos18jj8eq7xpyqdv9cdxpyxn0ulspmhx424rsfl60,VOTE_OPTION_YES,100055.0
cosmos1xym2qygmr9vanpa0m7ndk3n0qxgey3ff8vscct,VOTE_OPTION_ABSTAIN,100000.0
cosmos1utj9vnja2nma8mkgjmtwee0vgm6g9ejewznxrr,VOTE_OPTION_YES,91723.547753
cosmos1vg5x55g9s0d3lhz2dspuup8d5xwftmyys7gswv,VOTE_OPTION_YES,84184.22964800001
cosmos1xekdaycf5zhfhxefpxkfkwptcz0jyxhuld2hdf,VOTE_OPTION_NO_WITH_VETO,81651.44702699999
cosmos1r94gmhy8rhfdwl6829ks83jme5s0p8ld9g64e7,VOTE_OPTION_YES,81283.1903
cosmos1g5435cjhlm4s2nlmwln6ess9x4lc4qgdfep2l6,VOTE_OPTION_YES,71123.475026
cosmos1n74enedgvq5p9nwazlhm3w2kvaemlsf4setkdr,VOTE_OPTION_YES,67687.552522
cosmos17k85sejmf86tzhxppyps9x7kyhqqwdvfz5qefl,VOTE_OPTION_YES,66001.522587
cosmos1z972vzn799yg76ryr2e29qeduacsrn07rqlj4j,VOTE_OPTION_NO,65960.238447
cosmos159w444056phpcnfcfxstrtkezcymzkr64q070e,VOTE_OPTION_YES,65253.688841999996
cosmos1qd432aem98lvzpjcq78gvzqputgcs0906tltef,VOTE_OPTION_YES,64328.645414
cosmos17pz7rlzlgsne9luslvxpchn5m3p5fgrqefg08x,VOTE_OPTION_YES,60498.953232
cosmos1lu2qtcqq4lva2ycqgumtjzxpk7gymj2e046qmu,VOTE_OPTION_YES,60004.519530000005
cosmos10xjmyvkaz4v7n8mu498n54hvrkgzuyeafhtrtq,VOTE_OPTION_YES,59929.613095
cosmos1u5vc8p958lysvfzvr7fcnwe6zhtr7h6yrmf79u,VOTE_OPTION_YES,58622.664980999994
cosmos1hlxsavlny5ax6uwggr49qaw57cxnhcldxc3fg2,VOTE_OPTION_YES,57765.721629
cosmos1d25uxlhdynu6hdkl4xelwxn7jz08u5fa5hleut,VOTE_OPTION_YES,57618.034403
cosmos1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ladl29,VOTE_OPTION_YES,54221.357891
cosmos1qzny67usplncefpwpy29pa34vjasw76t2rlwhz,VOTE_OPTION_YES,54213.0
cosmos1ssm0d433seakyak8kcf93yefhknjleed4psy4g,VOTE_OPTION_ABSTAIN,53705.370534
cosmos13pap7zxd294lywtaxdftr0lhg7fjfd3ew4022w,VOTE_OPTION_NO_WITH_VETO,52376.762967999995
cosmos1q4udznx2q2curhmt68kc3pa6ne9zyptl4ydzqd,VOTE_OPTION_YES,52240.292149
cosmos1ry59aft0zlf33278es0mn2lazkfjvejtzf3neq,VOTE_OPTION_YES,52235.051395
cosmos1s4ykz0q9et2ahxyyy8nmuhn8ql4wjy7sym6lww,VOTE_OPTION_YES,50377.235723
cosmos1lsq36skm8gr326pjm3eqwm40w7lf7wkxd84gg7,VOTE_OPTION_NO_WITH_VETO,50100.0
cosmos1570zgpm0dx8965pk9rrmjv2tllfxmnrda0jkuk,VOTE_OPTION_YES,50000.500037
cosmos1lgur3yej7qtr4erlqzxavdpeqqau9q0h40rmeh,VOTE_OPTION_YES,50000.099999
cosmos1qfucy7548g479yzuf5j3qkge20az6t4qmqumrz,VOTE_OPTION_YES,50000.000002
cosmos1h36dsx4pflgjmesct389faxpqtxczj3lwj8mng,VOTE_OPTION_YES,50000.0
cosmos1hhvsnke6tfsv8dyzxl2nsnlhzeeqeeexjfgzdw,VOTE_OPTION_YES,48193.0
cosmos18s2v56yzt03kcp782vgxmdewa96fpavwt8xez9,VOTE_OPTION_YES,47375.366593
cosmos138897rghcgukk8vumm9u2z7q950mwksa9ye9r0,VOTE_OPTION_YES,47115.0
cosmos1skgg4564kke7ufq4swwxc8txwm2gcjked5qycc,VOTE_OPTION_YES,46599.499925
cosmos1ggcxyngdy2zk5ef3spxkyk0lavfxx4yhsnqj7x,VOTE_OPTION_YES,45879.439453
cosmos1ajhkz8038d0z3hspgmxad2tsezkchmztje0dr6,VOTE_OPTION_YES,45183.879564999996
cosmos18r457ws54pkrvurcakxufawxp3eedhffaethje,VOTE_OPTION_YES,45141.337791
cosmos14wgqjusg3w540m4m6rd3fumpwls7j24v7a72kl,VOTE_OPTION_NO_WITH_VETO,44581.661857
cosmos16phjecw25muxjyxgft4jxmwntvx24xhcnvz0p2,VOTE_OPTION_YES,43079.70596
cosmos1xyxtl8dzkjp9mhnk4hpf8rj9ad39xnmc6zexhc,VOTE_OPTION_YES,42330.75
cosmos1dyatkrjpdmd6w2e0hj84amqply5svjkn9nsdd8,VOTE_OPTION_YES,42001.000087
cosmos1hyvzj38nw0v6yv4ds6y9p5m7zwzlfff87pqt0v,VOTE_OPTION_YES,41590.0
cosmos1gnmwj6z3a95p5ncp7n24rwq74lpp9xjnpjult0,VOTE_OPTION_YES,40592.759099
cosmos1l3c4jstap9hr6sym54p8peeswknf89dfc402rv,VOTE_OPTION_YES,40436.188517
cosmos1fm2h9mp4xrrumdrjk2w97hltnrt2u2tw82p364,VOTE_OPTION_YES,40235.470318
cosmos180ua4mvj4serkttaas4skc3fcucpd7h38szfk7,VOTE_OPTION_YES,40004.000057
cosmos1hl5hpd2zfqadfeglfvu6vf4yh7xw3zvpw7kkgf,VOTE_OPTION_YES,39002.400481000004
cosmos1j5n75yls5aun28eu02w2hdthmtx29pvesya0gh,VOTE_OPTION_YES,38780.840383
cosmos1vmv5lc3ru9pdgqvfe2hm4qqsqen7fzk6325fu0,VOTE_OPTION_ABSTAIN,38460.0
cosmos1hw6eadrrvmzt322y7wj8t6px9gnanjcckc75vt,VOTE_OPTION_YES,37302.807027
cosmos1fp37ep4m3eaa887zxt5z6wfg8nrm2td3we9w9z,VOTE_OPTION_YES,37158.741123
cosmos15m0ecmh7mplgqjlwmdxqyd56482zd47l7qtp2y,VOTE_OPTION_YES,36986.6106
cosmos1jc79ds5j3fep07e2dvpmlyqlxy8ehm6qju9apf,VOTE_OPTION_YES,36909.513944
cosmos1n9p5xmqwna44tk84z7fang39lypxzu724ytkx4,VOTE_OPTION_YES,36474.552525
cosmos1vdv8v0ztfxwcu2zuh8tdfgchhq4f26pv2t8lvw,VOTE_OPTION_YES,36371.455502
cosmos1wdw0vc8ckf0x2m495v4ffxpdejvssfw38wnk0a,VOTE_OPTION_YES,36000.0
cosmos1vt049pwn9nlcszj5ttq7ape3nw48tw9vu5ejgd,VOTE_OPTION_YES,35644.401863
cosmos1gdv7kzg2lvx6k5w6nxq84q8r9z2ujpve0krhkm,VOTE_OPTION_YES,35501.510204
cosmos1wk30uz6drwuz7vkjrml5jthn0c0m3yhdqruu6t,VOTE_OPTION_YES,35246.865413
cosmos1zxxep8e6rc9tpxqunjt7xpsgk0glaqqmv4g87t,VOTE_OPTION_YES,33899.000109
cosmos1agelpl6cvugufuhzhcpc3gcrkpt6fxxpw8xtaj,VOTE_OPTION_YES,33612.36026
cosmos19g99m6g7ceg89f396dkxza82r3az54mslx4q24,VOTE_OPTION_YES,32741.19452
cosmos10n3zexh3uax3eqstce4w8qn6mg3xvh5puykkpd,VOTE_OPTION_YES,32337.0
cosmos13l5pwylwg9w8jh4a4gr50nt359u4ylkc5eqahk,VOTE_OPTION_NO_WITH_VETO,31275.790481
cosmos1gm9stluhw4xklwyv5kwx9v3veqsm2uq9scfja4,VOTE_OPTION_YES,30900.85
cosmos149g2tl9xakprzs5f854ntu5fthdgmuqd9ad0gn,VOTE_OPTION_YES,30728.655676
cosmos1ldnelx4c6hev2jncrfqpp83x703ng7zz4wj8e2,VOTE_OPTION_YES,30668.063406
cosmos17zp8dxwj40kw0998gv6x4z669cl8dsj350m6mk,VOTE_OPTION_YES,30090.584892
cosmos17vqaxda4qyzveqhrsx086e6pwslkvtelnavt4g,VOTE_OPTION_ABSTAIN,30001.999999
cosmos1nhfpuvxupt544sjxrzwmjdk0un9p8385rryw2q,VOTE_OPTION_YES,30001.250116000003
cosmos1cu8r87ctak4jaw5x8sajnphkudcp9n7azd9h7d,VOTE_OPTION_YES,29467.932594
cosmos16fxth82zn0zxr9mc2k6g9mc6fmv2ysf9ceasca,VOTE_OPTION_YES,28755.948628000002
cosmos1sa54sdl5nrr6p5d0ksrceapur7f9awf2s6jjhk,VOTE_OPTION_YES,28202.818662
cosmos16e32x4jzdqkjle4vetvx0pyjs6vpaaut6g9sya,VOTE_OPTION_YES,28161.003871999998
cosmos18888m4mej8tfwedl4t4evcen5ap5f3d3y500ut,VOTE_OPTION_YES,27974.010143
cosmos17mggn4znyeyg25wd7498qxl7r2jhgue8ep585n,VOTE_OPTION_NO_WITH_VETO,27571.572897
cosmos13sduv92y3xdhy3rpmhakrc3v7t37e7psqtmrdl,VOTE_OPTION_YES,26576.33397
cosmos1v34kn7s505gqlp723pzk0v8cwgchrajg939p74,VOTE_OPTION_NO_WITH_VETO,26558.081424
cosmos13al3765u4gd9zpks0n7de8x2edvza4lwr89w7k,VOTE_OPTION_YES,25859.723844
cosmos1pa9rqy8e2wct65v0ku2pzf9egpdynl3c6h2ran,VOTE_OPTION_YES,25851.722243
cosmos12ctg3ztj92qtea7na5nx4cgw7qvgm3l4shnu24,VOTE_OPTION_YES,25851.722243
cosmos10qx02y62v9ynwe9yz4qxvdx2sq7wm8gw9xsedl,VOTE_OPTION_YES,25851.722243
cosmos1sny3f3mqpkze0ae6shtm2v0mg3tjzwjpmagl4h,VOTE_OPTION_YES,25851.722243
cosmos1jthu90g8ltzgs2rxfdfv98cc53wuhcklxdzz4n,VOTE_OPTION_YES,25851.722243
cosmos15yvgvylrg2qaww80fu8plj767hnyqgkts2rd5l,VOTE_OPTION_YES,25851.722243
cosmos14dqvnrmwthl8cewf6rtv7csrx9ucuwpkp0al7z,VOTE_OPTION_YES,25851.722243
cosmos1449e6qd0cur0rzghxx44xn30v036tkq0gyjmtl,VOTE_OPTION_YES,25851.722243
cosmos16vw63em8pjf20shm95rc0lcghzt396ykkc5hef,VOTE_OPTION_YES,25851.722243
cosmos1pjmngrwcsatsuyy8m3qrunaun67sr9x78qhlvr,VOTE_OPTION_YES,25714.845865
cosmos1v7y8ma66z72pa82gxt30tkqqpx3dkwqgjswjpp,VOTE_OPTION_YES,25700.147582
cosmos133t8m00w7llsslnf05zdhehharntly8dr346wq,VOTE_OPTION_NO_WITH_VETO,25037.556942
cosmos1njusvz6kcg2844cpuetke5yghjrp57uyz0vcmg,VOTE_OPTION_NO_WITH_VETO,25001.000306
cosmos1e0d0daqr34t7kgdumgrlrwf7xye9alqfj2nsq8,VOTE_OPTION_NO_WITH_VETO,25000.003127
cosmos1cws2ktsx5edvv9vnge8mj983h76vz4txluqr67,VOTE_OPTION_YES,24829.560943
cosmos15a84pmu5qa9pps40g7vyzqar0p77mg0e7k05t4,VOTE_OPTION_YES,24563.20269
cosmos1jh0urskmdrrhfgm53d0ddnd506stu63wd07pfg,VOTE_OPTION_YES,24449.490717
cosmos17vz8hvg96lddwawdfygvu89ua4v7qgd6f2g44k,VOTE_OPTION_YES,23888.688892000002
cosmos1aszpxp86gq9qnw8yyyxfkcfcau0870u32qx780,VOTE_OPTION_YES,23887.358904
cosmos1tkx9cvhw8g9hwn3kaemfejsq5mfkx58mhaqkzv,VOTE_OPTION_YES,23592.676819
cosmos1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep4tgu9q,VOTE_OPTION_NO_WITH_VETO,23117.172506
cosmos1mylh2774pzp5tpxlhv65z2f834rkhj94v3pprr,VOTE_OPTION_YES,22510.1
cosmos10l3rfs5eya90utgm6g3lrtf6pzff3muc7l8y3n,VOTE_OPTION_YES,22183.750295
cosmos1hzdne7xvvs8unp497t6x0g32lpz6m5mqk9zq7d,VOTE_OPTION_YES,21667.75935
cosmos1uc7f4dt04pe07rwmv9q6yggghynzevmw8659cr,VOTE_OPTION_YES,21370.319238
cosmos1fsjpq8ef9g5txgezz7slqp39y7ltcxs8hd4hkn,VOTE_OPTION_YES,21338.096378
