addr,vote_option,myBank
cosmos1grgelyng2v6v3t8z87wu3sxgt9m5s03xvslewd,VOTE_OPTION_YES,111223.576405
cosmos1xym2qygmr9vanpa0m7ndk3n0qxgey3ff8vscct,VOTE_OPTION_ABSTAIN,51107.284235
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,VOTE_OPTION_YES,32305.069503
cosmos1ecsuj0q572jr0dhu29q9njtnmw03hyu7ccc0d7,VOTE_OPTION_NO_WITH_VETO,18541.651423
cosmos1uutuwrwt3z2a5z8z3uasml3rftlpmu25cufp5f,VOTE_OPTION_YES,12857.502413
cosmos196ax4vc0lwpxndu9dyhvca7jhxp70rmcfhxsrt,VOTE_OPTION_YES,9981.93118
cosmos1dpx7u0pah5cg4k9nxqg5w7gl4khywl0q98g8pm,VOTE_OPTION_YES,8926.012844
cosmos1qanwkm62vetdgan6kpyq7n3kufrwce2s27kuks,VOTE_OPTION_YES,8748.222266
cosmos16k579jk6yt2cwmqx9dz5xvq9fug2tekv6g34pl,VOTE_OPTION_YES,8040.612933
cosmos1e0d0daqr34t7kgdumgrlrwf7xye9alqfj2nsq8,VOTE_OPTION_NO_WITH_VETO,7608.452557
cosmos1p4ks5aktxq48yqmpzh8e90z6suan8zwy463ypu,VOTE_OPTION_YES,5184.634947
cosmos1h70ukhvlm8k0tm7y0l7teex6f4v65lzs7zeq4t,VOTE_OPTION_YES,4970.056247
cosmos13pny9wkauex4jqqlzxmwrgp2l6spcs27n2v8gz,VOTE_OPTION_YES,4770.412231
cosmos1gm9stluhw4xklwyv5kwx9v3veqsm2uq9scfja4,VOTE_OPTION_YES,3834.131268
cosmos134wtgq2wugr5vjv09gnw8rk4rq5cgue983dcum,VOTE_OPTION_YES,2953.838457
cosmos1hzdne7xvvs8unp497t6x0g32lpz6m5mqk9zq7d,VOTE_OPTION_YES,2789.746928
cosmos1059vss4rq2sqag52q47pszgdagdpasktu44zq6,VOTE_OPTION_NO_WITH_VETO,2709.867238
cosmos1njusvz6kcg2844cpuetke5yghjrp57uyz0vcmg,VOTE_OPTION_NO_WITH_VETO,2699.665447
cosmos14eflcqm6rzlvauwdvw29gg2vqjmddn09e9pavk,VOTE_OPTION_YES,2581.92125
cosmos185d6u2qly7slfgdnxdr9dlaerjrrpra7jzwk47,VOTE_OPTION_YES,2433.434992
cosmos1ax32rmtyraxnf76w3tcx6pmt7psdfgfdrmkpnd,VOTE_OPTION_NO_WITH_VETO,1965.725208
cosmos18vd445afteree2p8xk0s2uplehp87j0ucmxkxq,VOTE_OPTION_NO_WITH_VETO,1842.761478
cosmos1sw8wrjda6avn9a2efg3l7xkfs7qamdxrcd56r9,VOTE_OPTION_YES,1703.422344
cosmos1xekdaycf5zhfhxefpxkfkwptcz0jyxhuld2hdf,VOTE_OPTION_NO_WITH_VETO,1701.049149
cosmos14jlpmqquh0gste6nzf4dn43kc8h50l6f7jwc9r,VOTE_OPTION_YES,1654.687418
cosmos1qmkph5dr75der7z8e7fyttrvcsl4e9rkmyj3rc,VOTE_OPTION_NO_WITH_VETO,1579.153219
cosmos1vuvzqu928dt2fh4vj443slamkgxecprc2achke,VOTE_OPTION_YES,1350.196858
cosmos18jmylp5ddfhv4gzzm0lrvk92xy9aa6x5dtk953,VOTE_OPTION_YES,1333.196231
cosmos1qsqj8dr0tdn855rkm0mcyvyuw58cp4lksyk6a0,VOTE_OPTION_YES,1295.606909
cosmos1vcl4tmc85a7wh6av08j4dgc3tc04vyk5v6jjg9,VOTE_OPTION_YES,1173.561111
cosmos1mh5sy8y4apvetwpkrkrvj8rst9wtff3wkagr5r,VOTE_OPTION_YES,1136.56282
cosmos1gxju9ky3hwxvqqagrl3dxtl49kjpxq6w65d0h8,VOTE_OPTION_YES,1120.683954
cosmos12mnrdxfpa5rcrp8tq0q0rm42lphpc5n4txq49j,VOTE_OPTION_YES,1081.145572
cosmos1d7ncx0jzh9wq3m9hkw44j5jf9fxl6xvyj8he4x,VOTE_OPTION_YES,1020.034418
cosmos1u5sdlxa8e69zm26n0vz9v2kwdn6cnzn8zkv282,VOTE_OPTION_YES,1008.125131
cosmos1dagf3gr0h6cer294e67z2jdwnugtegrz0f2prl,VOTE_OPTION_NO_WITH_VETO,1003.220609
cosmos13pap7zxd294lywtaxdftr0lhg7fjfd3ew4022w,VOTE_OPTION_NO_WITH_VETO,958.970388
cosmos1gdv7kzg2lvx6k5w6nxq84q8r9z2ujpve0krhkm,VOTE_OPTION_YES,862.41098
cosmos1glkwwjmd75j9a8rg5m6xxk7lzzzdakf09fkp2l,VOTE_OPTION_YES,832.665713
cosmos17mggn4znyeyg25wd7498qxl7r2jhgue8ep585n,VOTE_OPTION_NO_WITH_VETO,831.290916
cosmos1la4t7jee73a4zqg9ccs2acjt462qjs5xkls4n7,VOTE_OPTION_YES,819.052498
cosmos1rgtctkwpunj290jmkgulr7msupejj57yt7q0lj,VOTE_OPTION_YES,814.007741
cosmos106x8q2nv7xsg7qrec2zgdf3vvq0t3gn4deldp0,VOTE_OPTION_YES,803.717237
cosmos10wzd0drgcpudme039j22h70dnayra75a2qatxv,VOTE_OPTION_YES,783.414985
cosmos1v6umul8nun2xaml2y24zrhwc3gx2lv38f73tr4,VOTE_OPTION_YES,750.101295
cosmos1g8l25h7yn9ty6p0wfqp8vznzavxcupd5vhursw,VOTE_OPTION_YES,748.000841
cosmos1cy7jye9jkg6k4h9wcurdcx7q4ld03m4853my3u,VOTE_OPTION_YES,740.832641
cosmos1uh2gxycd8zf3vharxfekhhu0jddstw4xayk873,VOTE_OPTION_YES,626.047423
cosmos1cc99d3xcukhedg4wcw53j7a9q68uza70mc4u4d,VOTE_OPTION_YES,590.608854
cosmos1mnhntespym33m77qkkgpwmhcmkekdvy88pux26,VOTE_OPTION_YES,580.63486
cosmos1yw5s259jkcg0jzmh7sce29uk0lqqw2umy2qttj,VOTE_OPTION_YES,577.871635
cosmos10efrdu7x6d6hmy5srvgxk26lxm2875rfdsxwrm,VOTE_OPTION_YES,550.401652
cosmos168k5wr3xccdch9uwgz2me45g3u6fgxshyv2qaw,VOTE_OPTION_YES,527.136884
cosmos10c3r27nekd9w7s3swwg3t9sf5hzrvqjfrjeayy,VOTE_OPTION_YES,506.171537
cosmos1jh0urskmdrrhfgm53d0ddnd506stu63wd07pfg,VOTE_OPTION_YES,504.169626
cosmos1jnpevf3zg3wc3vyqssxu96lz899g00sk7puna6,VOTE_OPTION_YES,500.107538
cosmos1cu8r87ctak4jaw5x8sajnphkudcp9n7azd9h7d,VOTE_OPTION_YES,479.019646
cosmos1kpg4axaylf4a9l4j4zw0zgyx3c72ad0896dzk3,VOTE_OPTION_YES,475.544043
cosmos1kx72peqszem0chllp053qltrs0wy7s9etzeg75,VOTE_OPTION_YES,470.19218
cosmos1t5hslm089hx3qetp2f7nuhfww2qhuknkr70s85,VOTE_OPTION_YES,469.759911
cosmos12pacz5tyulvluu0tl6kld3txhdu70dxgafp6hv,VOTE_OPTION_YES,462.133403
cosmos1ujlq9c3zfxfcln0hmvg36xmemu59a54tysvcmv,VOTE_OPTION_YES,461.445838
cosmos1hhvsnke6tfsv8dyzxl2nsnlhzeeqeeexjfgzdw,VOTE_OPTION_YES,431.834236
cosmos1h3jk4x87ztg035nfw4nymzmvcdeh5vkf78dnq8,VOTE_OPTION_YES,426.993125
cosmos10xyd28tn74s2fvzhy7ev4jarcueatpyzf2y4rl,VOTE_OPTION_YES,419.11203
cosmos18r457ws54pkrvurcakxufawxp3eedhffaethje,VOTE_OPTION_YES,408.318411
cosmos1wdw0vc8ckf0x2m495v4ffxpdejvssfw38wnk0a,VOTE_OPTION_YES,407.762797
cosmos1rdfsxdlluw5vqmwj9lu6s4raj06kgz68y8xyw4,VOTE_OPTION_YES,400.323615
cosmos1fzufmzdfujlwvfvk8wfxfxgsljsw6cnlvkhyrm,VOTE_OPTION_YES,394.087679
cosmos1ntjzjtvkqaks2u3xvwwuqjezxjhfrz82ftd6jm,VOTE_OPTION_YES,391.517292
cosmos1yeyafzl0nczpdwx2q2wkwkez7za7uwt2fazqux,VOTE_OPTION_YES,387.547208
cosmos1h4m8x6yenq8luktp6g78z3ensrlthcj3y8wy32,VOTE_OPTION_YES,377.474279
cosmos10t8lusgdjqfnn9z2ea085mah9u65h8394ynx5f,VOTE_OPTION_YES,376.74951
cosmos1dr4um0jmyhjtjc0r2p03cfxw0kfssucgfztpkh,VOTE_OPTION_YES,373.189648
cosmos1dwd7pt40m9pl5x56vrz68ltj47czx20p3kgt9w,VOTE_OPTION_YES,371.704402
cosmos1hy93akvmprl34526xexakxwefya0s7c4vfwhet,VOTE_OPTION_YES,361.83109
cosmos19uraxqsucmfvzvdhjhu2ycypqfh2z8k029epl8,VOTE_OPTION_YES,355.776702
cosmos1vf49phx5m09vftk24rfzla34lq8vs7fpenhdfg,VOTE_OPTION_YES,354.667327
cosmos10rk2v8pxjnldtxuy9ds0s5na9qjcmh5yyr5736,VOTE_OPTION_YES,352.883352
cosmos1zgaj2w950llsludydz5xmcp609uk02ys32a9ux,VOTE_OPTION_YES,352.827228
cosmos1sg5eclxk9svey869xgz5etfpa9jnhrfhel03f6,VOTE_OPTION_YES,345.556743
cosmos1wyegm9fjyz97xvagm03hpffl39h4322vrep2eg,VOTE_OPTION_YES,342.176679
cosmos1wk30uz6drwuz7vkjrml5jthn0c0m3yhdqruu6t,VOTE_OPTION_YES,341.909003
cosmos102ruvpv2srmunfffxavttxnhezln6fnc3pf7tt,VOTE_OPTION_YES,331.753105
cosmos1dm90c3eyxcwknmtx0hfcte4tfav9xd7dy3nm2f,VOTE_OPTION_YES,329.980195
cosmos166jxmsf24hgdn9xcjanemwvkf3d6e0gmcnxfrm,VOTE_OPTION_YES,328.904404
cosmos12z2988anxfkyrn9jtd942xgjlxqk6t8mur4d7t,VOTE_OPTION_NO_WITH_VETO,327.069637
cosmos1mxzjfp05w2zw63lf2qp34mf8na4et9wwy9ks85,VOTE_OPTION_YES,324.176063
cosmos1vrrj4kw52kchqzgzpn5zw46dha2cdp6hj4z7kw,VOTE_OPTION_YES,323.157509
cosmos1l0uyf6ljnmdaw4ngqnpfgtrg4t9ym0g4yhwpae,VOTE_OPTION_YES,318.090007
cosmos1kcj78hhd9qq9dcgh5wydv4ksdudpdmc9njsc8n,VOTE_OPTION_YES,313.127162
cosmos149xu30eqnu5kfl207razavtgtgl6dgxdtjsf49,VOTE_OPTION_YES,312.233617
cosmos1xh5tm5538ed6uu5ahvjdsz6lkgwv9twmwsflgy,VOTE_OPTION_YES,309.96907
cosmos14qqpm269lyt3f8fg54f4g9f9949he4y96jw5l8,VOTE_OPTION_YES,309.08792
cosmos10jsw8uvkajrd299k5k3y9s3kxlfsj0skraq686,VOTE_OPTION_NO,308.064017
cosmos17p8jkv2nj80aekgzpkgyfcurk00pn4697k2zzd,VOTE_OPTION_NO,307.830716
cosmos1fsczk3dj3eqp62qeeg4jcwvg939zwa67vkk64w,VOTE_OPTION_YES,305.260434
cosmos1d0jqveskm8cnjar0cjmz0qan7h4pkwm98aa6av,VOTE_OPTION_YES,300.120971
cosmos1ndzssj57ynznswvfn2xja78364r4muhuykd6mc,VOTE_OPTION_ABSTAIN,300.10576
cosmos18jtdwtr8rltlzfcuwd9rrk9z9hhfqc9rcwhznt,VOTE_OPTION_YES,300.074097
cosmos1wgvyrywj598yjnr0lza3nwfdts3c9drpm53kuk,VOTE_OPTION_YES,300.069145
cosmos1jy3ygr6kldcyqcr2yk9z5hen5lgj5827ypqk8q,VOTE_OPTION_YES,297.180173
cosmos1se02n5r4uv8fxzlp2edy9y9jpk6dmd3rju9hk3,VOTE_OPTION_YES,286.517944
cosmos1vqp3s0muqq0045j6tudnsm6sx7lsr5x60ltvhf,VOTE_OPTION_YES,285.30699
cosmos1rrrmtxt8gxaxt5ffrvnusm7hrq0ul2z2s5skj5,VOTE_OPTION_YES,285.218997
cosmos1m6c3svxkajv80m9svaqdnm5ph0t07xkf73x6np,VOTE_OPTION_YES,284.30139
cosmos1mnyp4cvhfmw68xqttaqah78vmntu2hjkjruhkz,VOTE_OPTION_YES,283.069611
cosmos1pskalk0vu6w0dulvnd3twdynql37smpd2vn2c8,VOTE_OPTION_YES,281.061321
cosmos1qyqpyd5kaz4f3np33f696zkn2vfd87apzsdnpe,VOTE_OPTION_YES,276.509365
cosmos1sulqh6cpj5vve533e5d9clysgajh5qps2n8yen,VOTE_OPTION_ABSTAIN,274.390999
cosmos158gnjm0eqld7qpe03jzxk9atnmw0yegpjz72v0,VOTE_OPTION_YES,274.299623
cosmos1xnzglsz56xfxfusy0knuzznjc34jr7d0d0fdw8,VOTE_OPTION_YES,271.847911
cosmos1qr6gggq8953qetshu7l03m85cmdlet8l2aglct,VOTE_OPTION_YES,270.557028
cosmos1cmmp0klv4eff5egth08dvdjes2zye89xe4vr85,VOTE_OPTION_YES,268.962346
cosmos1hq2w90yft99fj5wstdr28hg0wx997k8fplggq2,VOTE_OPTION_YES,264.926835
cosmos148r8afj23qx2ahd00hw503vjcf847q4kqnpmwz,VOTE_OPTION_YES,259.974579
cosmos19nvkp97wnmtphc9jcfdqw8plfdh4ktxr0duwky,VOTE_OPTION_YES,259.811301
cosmos166hnu9h3cta8j0099acftqq4a3wc46q2v5y40l,VOTE_OPTION_YES,257.58486
cosmos1n4z68l4pjje3hm695h8wewjxt6xas3z6tjd7up,VOTE_OPTION_YES,257.186922
cosmos1kn0sxuzvhuhx6xvfm3vzwn4rsdrjcvmudjhude,VOTE_OPTION_YES,256.599716
cosmos13vwzpmmada8aangxtjyfschf04fh7mfjz5kt3a,VOTE_OPTION_YES,256.155524
cosmos15yy8rxvkyeg0zhr768p5t25esmsrddp5sxr5sa,VOTE_OPTION_YES,252.660079
cosmos1ex58ltuvruyew8849atkwqxr22nr8jwwuwv68v,VOTE_OPTION_YES,252.108774
cosmos1k9mzg850uy3z088dw6xx4jc3lq3gaza9tdz5a2,VOTE_OPTION_YES,249.901502
cosmos1aqdqqv6qmycrale74x7ef39h5qrp7ztgxhywy0,VOTE_OPTION_NO,248.977056
cosmos1mk8kvqsnge6e3edpx38dqnpn39zmqlsw46fcve,VOTE_OPTION_YES,244.427784
cosmos122taa46qrdv22ryk6v9wvs285y24q9z2ydf4k4,VOTE_OPTION_NO,243.904401
cosmos18lnd2qfx3recvrmk865twk32jnllgacrcjuf2x,VOTE_OPTION_YES,238.863079
cosmos1hgqvm0eyvqn9t892syzfc9s7z8durt4esv2r3j,VOTE_OPTION_YES,235.591727
cosmos1tshwngxafaaetznslcppa8exqc0zhfr4yag57w,VOTE_OPTION_YES,234.020532
cosmos1wlycvce47qsnu6d8pp2stz6332u7292xcqe09v,VOTE_OPTION_YES,231.345689
cosmos1whuf8ya8xzrggm66p820d02jklcpglr6r2fkh7,VOTE_OPTION_YES,228.245535
cosmos15x7kmqpk0pd9x67cmzza5fqs7de7ksszz22pk0,VOTE_OPTION_YES,224.571692
